city;monument;2018;2019;2020;2021;type_of_monulent;region;type_of_area;monument_name
MONT-DAUPHIN  ;PLACE FORTE;15215;11633;7492;14316;PLACE;PROVENCE-ALPES-COTES-AZUR;RURALE;Stronghold
MONTMAURIN  ;VILLA GALLO-ROMAINE;6459;6474;4115;3780;VILLA;OCCITANIE;RURALE;Gallo Roman Villa
MONTPELLIER  ;HOTEL DE LUNAS;0;0;0;0;HOTEL;OCCITANIE;URBAIN;Lunas Hotel
NISSAN-LEZ-ENSERUNE  ;SITE ARCHEOLOGIQUE;23273;17279;7434;8046;SITES MEGALITHIQUES;OCCITANIE;RURALE;Archaeological Site
NOGENT-SUR-SEINE  ;CHATEAU MOTTE-TILLY;16795;15121;6631;10460;CHATEAU;GRAND-EST;RURALE;Motte-Tilly Castle
NOHANT  ;MAISON DE GEORGE SAND;31014;33961;17757;20005;MAISON;CENTRE-VAL-DE-LOIRE;RURALE;House of George Sand
OIRON  ;CHATEAU;19457;23599;10924;15081;CHATEAU;NOUVELLE-AQUITAINE;RURALE;Castle
PARIS  ;ARC DE TRIOMPHE;1698139;1606711;428642;510335;ARC;ILE-DE-FRANCE;URBAIN;Arc De Triomphe
PARIS  ;CHAPELLE EXPIATOIRE;20411;21634;8401;9308;CHAPELLE;ILE-DE-FRANCE;URBAIN;Expiatory Chapel
PARIS  ;COLONNE DE JUILLET;0;0;0;1196;COLONNE;ILE-DE-FRANCE;URBAIN;July Column
PARIS  ;CONCIERGERIE;440490;455913;137068;163336;CONCIERGERIE;ILE-DE-FRANCE;URBAIN;Conciergerie
PARIS  ;DOMAINE NATIONAL DU PALAIS-ROYAL;0;33;0;0;DOMAINE;ILE-DE-FRANCE;URBAIN;Domaine National du Palais Royal
PARIS  ;HOTEL DE BETHUNE - SULLY;722;642;129;139;HOTEL;ILE-DE-FRANCE;URBAIN;Bethune-Sully Hotel
PARIS  ;HOTEL DE LA MARINE;0;0;0;210944;HOTEL;ILE-DE-FRANCE;URBAIN;Hotel de la marine
PARIS  ;PANTHEON;859800;875671;223217;368084;PANTHEON;ILE-DE-FRANCE;URBAIN;Pantheon
PARIS  ;SAINTE-CHAPELLE;1270489;1375609;269434;373334;SAINTE;ILE-DE-FRANCE;URBAIN;Sainte-Chapelle
PARIS  ;TOUR EIFFEL;6 207 303;6 140 000;1 560 000;2 058 000;TOUR;ILE-DE-FRANCE;URBAIN;Eiffel Tower
PARIS  ;TOURS DE LA CATHEDRALE;476319;126046;0;0;TOURS;ILE-DE-FRANCE;URBAIN;Towers Of the Cathedral
PIERREFONDS  ;CHATEAU;140204;153364;76936;88847;CHATEAU;HAUTS-DE-FRANCE;RURALE;Castle
PLOUEZOC'H  ;CAIRN DE BARNENEZ;40278;42797;25878;29678;CAIRN;BRETAGNE;RURALE;Barnenez Cairn
POISSY  ;VILLA SAVOYE;38782;38739;17575;15812;VILLA;ILE-DE-FRANCE;URBAIN;Savoye Villa
PRIGNAC  ;GROTTE DE PAIR-NON-PAIR;10295;10218;2960;6332;GROTTE;NOUVELLE-AQUITAINE;RURALE;Pair-Non-Pair Cave
PRUDHOMAT  ;CHATEAU CASTELNAU-BRETENOUX;41053;43948;29654;36631;CHATEAU;OCCITANIE;RURALE;Castle of the Barons of Castelnau
RAMBOUILLET  ;DOMAINE NATIONAL;43997;46753;21934;28643;DOMAINE;ILE-DE-FRANCE;URBAIN;National Domain
REIMS  ;PALAIS DU TAU;90250;97277;40878;53210;PALAIS;GRAND-EST;URBAIN;Tau Palace
REIMS  ;TOURS DE LA CATHEDRALE;12702;10673;442;8031;TOURS;GRAND-EST;URBAIN;Towers Of the Cathedral
ROQUEBRUNE  ;CAP MODERNE;7535;8462;889;7130;CAP;PROVENCE-ALPES-COTES-AZUR;URBAIN;Cap Moderne
SAINT-CERE  ;CHATEAU DE MONTAL;16140;18792;10853;12943;CHATEAU;OCCITANIE;RURALE;Montal Castle
SAINT-CLOUD  ;DOMAINE NATIONAL;148761;144338;83765;158632;DOMAINE;ILE-DE-FRANCE;URBAIN;National Domain
SAINT-DENIS  ;BASILIQUE;137290;139139;44033;52567;BASILIQUE;ILE-DE-FRANCE;URBAIN;Basilica
SAINT-REMY-DE-PROVENCE  ;HOTEL DE SADE;4474;5087;0;3556;HOTEL;PROVENCE-ALPES-COTES-AZUR;URBAIN;Sade Hotel
SAINT-REMY-DE-PROVENCE  ;SITE DE GLANUM;63176;69197;34779;46494;SITES MEGALITHIQUES;PROVENCE-ALPES-COTES-AZUR;URBAIN;Glanum Site
SAINT-VINCENT  ;MAISON DE G CLEMENCEAU;22231;24017;13802;16480;MAISON;AUVERGNE-RHONE-ALPES;RURALE;House Of Georges Clemenceau
SALSES  ;FORTERESSE;81463;83618;44640;58202;FORTERESSE;OCCITANIE;RURALE;Fortress
SANXAY  ;SANCTUAIRE GALLO-ROMAIN;7107;4285;3103;3559;SANCTUAIRE;NOUVELLE-AQUITAINE;RURALE;Gallo-Roman Sanctuary
SAORGE  ;MONASTERE;7162;7428;4954;3488;MONASTERE;PROVENCE-ALPES-COTES-AZUR;RURALE;Monastery
SERMENTIZON  ;CHATEAU D'AULTERIBE;12748;10276;4091;6264;CHATEAU;AUVERGNE-RHONE-ALPES;RURALE;Aulteribe Castle
SEVRES  ;MAISON DES JARDIES;1118;1102;167;371;MAISON;ILE-DE-FRANCE;URBAIN;Maison des Jardies
