CITY;MONUMENT;2018;2019;2020;2021;TYPE_OF_MONUMENT;REGION;TYPE_OF_AREA
REIMS  ;PALAIS DU TAU;90250;97277;40878;53210;PALAIS;GRAND-EST;URBAIN
REIMS  ;TOURS DE LA CATHEDRALE;12702;10673;442;8031;TOURS;GRAND-EST;URBAIN
ROQUEBRUNE  ;CAP MODERNE;7535;8462;889;7130;CAP;PROVENCE-ALPES-COTES-AZUR;URBAIN
SAINT-CERE  ;CHATEAU DE MONTAL;16140;18792;10853;12943;CHATEAU;OCCITANIE;RURALE
SAINT-CLOUD  ;DOMAINE NATIONAL;148761;144338;83765;158632;DOMAINE;ILE-DE-FRANCE;URBAIN
SAINT-DENIS  ;BASILIQUE;137290;139139;44033;52567;BASILIQUE;ILE-DE-FRANCE;URBAIN
SAINT-REMY-DE-PROVENCE  ;HOTEL DE SADE;4474;5087;0;3556;HOTEL;PROVENCE-ALPES-COTES-AZUR;URBAIN
SAINT-REMY-DE-PROVENCE  ;SITE DE GLANUM;63176;69197;34779;46494;SITES MEGALITHIQUES;PROVENCE-ALPES-COTES-AZUR;URBAIN
SAINT-VINCENT  ;MAISON DE G CLEMENCEAU;22231;24017;13802;16480;MAISON;AUVERGNE-RHONE-ALPES;RURALE
SALSES  ;FORTERESSE;81463;83618;44640;58202;FORTERESSE;OCCITANIE;RURALE
SANXAY  ;SANCTUAIRE GALLO-ROMAIN;7107;4285;3103;3559;SANCTUAIRE;NOUVELLE-AQUITAINE;RURALE
SAORGE  ;MONASTERE;7162;7428;4954;3488;MONASTERE;PROVENCE-ALPES-COTES-AZUR;RURALE
SERMENTIZON  ;CHATEAU D'AULTERIBE;12748;10276;4091;6264;CHATEAU;AUVERGNE-RHONE-ALPES;RURALE
SEVRES  ;MAISON DES JARDIES;1118;1102;167;371;MAISON;ILE-DE-FRANCE;URBAIN
TALCY  ;CHATEAU;13269;28570;8283;8489;CHATEAU;CENTRE-VAL-DE-LOIRE;RURALE
THORONET  ;ABBAYE;86034;96226;53957;54064;ABBAYE;PROVENCE-ALPES-COTES-AZUR;RURALE
TOURS  ;CLOITRE PSALETTE CATHEDRALE;18642;21181;7100;9911;CLOITRE;CENTRE-VAL-DE-LOIRE;URBAIN
TREGUIER  ;MAISON RENAN;2779;3132;2104;2389;MAISON;BRETAGNE;RURALE
VALLEE DE LA VEZERE  ;SITES;36812;35252;6207;18143;SITES MEGALITHIQUES;NOUVELLE-AQUITAINE;RURALE
VILLARS  ;CHATEAU DE PUYGUILHEM;11694;12939;8950;10273;CHATEAU;NOUVELLE-AQUITAINE;RURALE
VILLENEUVE-LEMBRON  ;CHATEAU;8722;8018;3476;5677;CHATEAU;AUVERGNE-RHONE-ALPES;URBAIN
VILLENEUVE-LEZ-AVIGNON  ;FORT ST-ANDRE;33509;31649;20535;23720;FORT;PROVENCE-ALPES-COTES-AZUR;URBAIN
VINCENNES  ;CHATEAU;139658;132486;47631;58324;CHATEAU;ILE-DE-FRANCE;URBAIN
WIMILLE  ;COLONNE DE LA GRANDE ARMEE;4787;4686;1648;5038;COLONNE;HAUTS-DE-FRANCE;RURALE
